BAS_DT,KOSPI,KOSDAQ
20230102,2225.67,671.51
20230103,2218.68,674.95
20230104,2255.98,683.67
20230105,2264.65,679.92
20230106,2289.97,688.94
20230109,2350.19,701.21
20230110,2351.31,696.05
20230111,2359.53,709.77
20230112,2365.1,710.82
20230113,2386.09,711.82
20230116,2399.86,716.89
20230117,2379.39,709.71
20230118,2368.32,711.75
20230119,2380.34,712.89
20230120,2395.26,717.97
20230123,,
20230124,,
20230125,2428.57,732.35
20230126,2468.65,738.94
20230127,2484.02,741.25
20230130,2450.47,738.62
20230131,2425.08,740.49
20230201,2449.8,750.96
20230202,2468.88,764.62
20230203,2480.4,766.79
20230206,2438.19,761.33
20230207,2451.71,772.79
20230208,2483.64,779.98
20230209,2481.52,784.58
20230210,2469.73,772.44
20230213,2452.7,772.55
20230214,2465.64,779.58
20230215,2427.9,765.46
20230216,2475.48,784.71
20230217,2451.21,775.62
20230220,2455.12,788.89
20230221,2458.96,793.42
20230222,2417.68,778.51
20230223,2439.09,783.28
20230224,2423.61,778.88
20230227,2402.64,780.3
20230228,2412.85,791.6
20230301,,
20230302,2427.85,787.19
20230303,2432.07,802.42
20230306,2462.62,816.51
20230307,2463.35,815.76
20230308,2431.91,813.95
20230309,2419.09,809.22
20230310,2394.59,788.6
20230313,2410.6,788.89
20230314,2348.97,758.05
20230315,2379.72,781.17
20230316,2377.91,781.98
20230317,2395.69,797.39
20230320,2379.2,802.2
20230321,2388.35,802.53
20230322,2416.96,813.43
20230323,2424.48,812.19
20230324,2414.96,824.11
20230327,2409.22,827.69
20230328,2434.94,833.51
20230329,2443.92,843.94
20230330,2453.16,850.48
20230331,2476.86,847.52
20230403,2472.34,854.96
20230404,2480.51,857.18
20230405,2495.21,872.36
20230406,2459.23,865.58
20230407,2490.41,880.07
20230410,2512.08,887.78
20230411,2547.86,898.94
20230412,2550.64,890.62
20230413,2561.66,894.25
20230414,2571.49,903.84
20230417,2575.91,909.5
20230418,2571.09,909.02
20230419,2575.08,909.2
20230420,2563.11,885.71
20230421,2544.4,868.82
20230424,2523.5,855.23
20230425,2489.02,838.71
20230426,2484.83,830.44
20230427,2495.81,850.21
20230428,2501.53,842.83
